Participant ID,Physical Activity,Fruits/Veg Servings,Sleep Quality,Stress Level,Overall Health,Diet Type,Exercise Type Preferred,Work Environment,Living Area
75,7.36,6.42,5,5,3,Meat-Eater,Sports,Fieldwork,Urban
76,7.56,6.24,10,2,6,Meat-Eater,Cardio,Student,Suburban
77,7.94,4.61,3,4,6,Vegan,Strength Training,Mixed,Rural
78,1.67,4.04,5,8,5,Vegetarian,None,Student,Rural
79,4.23,2.14,5,9,3,Pescatarian,Cardio,Mixed,Urban
80,2.04,4.53,3,7,3,Flexitarian,None,Mixed,Rural
81,8.77,2.46,3,2,7,Meat-Eater,Strength Training,Fieldwork,Suburban
82,6.61,7.61,10,5,4,Pescatarian,Strength Training,Office,Urban
83,3.98,2.88,1,8,2,Pescatarian,None,Remote,Suburban
84,1.57,1.53,4,7,2,Flexitarian,None,Mixed,Suburban
85,3.8,5.97,6,9,4,Meat-Eater,Strength Training,Fieldwork,Rural
86,3.93,6.36,8,10,5,Vegan,Strength Training,Office,Suburban
87,7.57,8.85,8,4,10,Vegetarian,Strength Training,Office,Rural
88,6.74,6.19,9,3,9,Flexitarian,Strength Training,Student,Urban
89,8.98,4.11,3,5,4,Pescatarian,Cardio,Mixed,Urban
90,5.25,8.23,9,5,3,Meat-Eater,Yoga/Pilates,Remote,Suburban
91,2.08,5.86,10,10,3,Flexitarian,None,Fieldwork,Urban
92,7.42,1.71,2,1,8,Vegan,Cardio,Student,Rural
93,7.85,6.09,10,5,3,Meat-Eater,Sports,Student,Rural
94,6.05,9.17,5,4,6,Meat-Eater,Sports,Office,Suburban
95,7.94,4.57,2,4,6,Vegan,Sports,Mixed,Urban
96,5.44,3.67,5,3,10,Meat-Eater,Yoga/Pilates,Fieldwork,Urban
97,5.7,2.29,5,2,6,Vegan,Sports,Mixed,Rural
98,4.85,2.36,5,7,1,Vegan,Yoga/Pilates,Mixed,Rural
99,1.23,4.89,5,6,3,Meat-Eater,None,Office,Rural
100,1.97,6.36,8,10,3,Meat-Eater,None,Remote,Suburban
101,1.28,1.73,1,6,4,Meat-Eater,None,Office,Urban
102,6.73,9.46,8,3,8,Vegan,None,Mixed,Suburban
103,3.83,7.8,9,8,4,Flexitarian,Strength Training,Office,Urban
104,5.58,6.28,7,2,9,Meat-Eater,Sports,Remote,Suburban
105,9.17,8.46,8,3,6,Vegan,Cardio,Fieldwork,Urban
106,3.24,1.72,5,10,3,Flexitarian,Yoga/Pilates,Fieldwork,Suburban
107,4.69,5.29,9,9,1,Meat-Eater,Strength Training,Office,Suburban
108,7.8,6.67,5,3,8,Meat-Eater,Cardio,Remote,Suburban
109,3.06,8.46,10,6,1,Flexitarian,Strength Training,Student,Rural
110,1.69,8.05,6,10,1,Flexitarian,None,Remote,Rural
111,3.61,3.49,4,8,1,Vegetarian,Cardio,Office,Rural
112,2.45,9.47,8,8,5,Pescatarian,None,Remote,Suburban
113,9.37,2.12,4,5,1,Flexitarian,Sports,Student,Urban
114,8.27,8.88,9,3,7,Vegan,Sports,Student,Rural
115,6.7,9.74,5,4,7,Meat-Eater,Sports,Fieldwork,Urban
116,8.84,2.59,5,2,7,Meat-Eater,Cardio,Fieldwork,Suburban
117,8.23,7.5,9,5,4,Meat-Eater,Strength Training,Mixed,Urban
118,2.68,1.36,3,6,1,Vegan,None,Fieldwork,Rural
119,9.03,4.65,1,3,7,Meat-Eater,Cardio,Mixed,Urban
120,5.85,5.65,8,2,9,Vegetarian,None,Mixed,Suburban
121,8.27,6.23,6,1,7,Vegetarian,Cardio,Remote,Suburban
122,9.06,9.42,8,1,8,Flexitarian,Sports,Student,Suburban
123,3.86,7.05,9,9,5,Vegetarian,Cardio,Office,Suburban
124,1.99,5.33,5,7,1,Vegan,None,Fieldwork,Rural
125,3.05,8.29,5,10,5,Pescatarian,Strength Training,Mixed,Urban
126,4.84,9.55,5,7,5,Pescatarian,None,Remote,Rural
127,8.36,1.2,3,2,8,Vegan,Sports,Remote,Urban
128,8.75,9.84,8,1,8,Flexitarian,Sports,Fieldwork,Suburban
129,1.06,1.78,3,9,3,Pescatarian,None,Office,Rural
130,5.6,8.33,10,4,9,Pescatarian,None,Fieldwork,Rural
131,4.76,3.52,2,7,2,Flexitarian,Cardio,Office,Rural
132,3,2.19,5,7,1,Vegetarian,None,Mixed,Suburban
133,2.08,4.96,3,8,3,Pescatarian,None,Office,Suburban
134,4.04,6.8,7,6,1,Flexitarian,Yoga/Pilates,Office,Urban
135,9.49,4.43,5,5,1,Meat-Eater,Cardio,Mixed,Rural
136,3.91,1.49,1,10,1,Meat-Eater,Strength Training,Office,Urban
137,5.67,6.4,9,4,8,Pescatarian,Sports,Student,Rural
138,7.33,9.12,8,1,8,Pescatarian,Sports,Fieldwork,Urban
139,4.27,4.45,5,9,2,Flexitarian,Strength Training,Office,Rural
140,9.75,2.95,1,5,3,Vegan,Cardio,Student,Suburban
141,9.66,4.98,5,2,8,Vegan,Sports,Mixed,Urban
142,3.27,1.44,3,6,1,Vegetarian,None,Student,Rural
143,5.48,8.38,6,1,7,Vegetarian,Sports,Mixed,Rural
144,3.71,8.44,7,8,5,Vegan,Strength Training,Office,Rural
145,3.56,6.29,6,7,3,Vegan,Sports,Fieldwork,Rural
146,1.33,4.18,5,7,3,Vegan,None,Office,Rural
147,6.49,8.2,8,4,10,Vegetarian,Sports,Office,Urban
148,5.52,5.99,9,1,6,Meat-Eater,Yoga/Pilates,Fieldwork,Rural
149,1.46,8.43,5,9,2,Meat-Eater,None,Student,Suburban
150,3.51,6.68,9,7,1,Vegan,None,Mixed,Rural
151,9.17,8.06,6,3,9,Pescatarian,Strength Training,Fieldwork,Urban
152,3.16,6.39,7,6,3,Vegan,Strength Training,Mixed,Rural
153,2.3,4.73,4,7,4,Vegetarian,None,Mixed,Urban
154,5.41,9.62,9,3,8,Vegetarian,Sports,Mixed,Urban
155,9.87,5.87,9,5,4,Flexitarian,Strength Training,Student,Urban
156,3.18,6.45,7,7,5,Flexitarian,Cardio,Fieldwork,Rural
157,7.05,2.98,4,5,3,Meat-Eater,Strength Training,Mixed,Rural
158,7.85,6.63,10,4,8,Meat-Eater,Cardio,Office,Urban
159,3.14,6.14,9,10,4,Pescatarian,None,Remote,Rural
160,7.55,2.66,5,2,7,Pescatarian,Sports,Office,Rural
161,4.31,1.54,2,10,4,Meat-Eater,Strength Training,Remote,Urban
162,6.69,6.44,6,1,8,Pescatarian,None,Student,Urban
163,6.7,7.87,5,2,8,Meat-Eater,None,Office,Suburban
164,5.82,5.71,7,3,7,Flexitarian,None,Office,Urban
165,1.81,3.04,4,10,1,Vegetarian,None,Fieldwork,Suburban
166,8.52,7,9,1,7,Vegan,Strength Training,Remote,Urban
167,3.89,1.72,5,9,1,Vegetarian,Cardio,Mixed,Rural
168,2.68,4.98,1,9,3,Flexitarian,None,Mixed,Suburban
169,1.37,2.47,5,10,5,Vegan,None,Remote,Suburban
170,6.32,2.66,3,4,10,Meat-Eater,Strength Training,Mixed,Suburban
171,7.1,2.82,1,3,9,Flexitarian,Cardio,Fieldwork,Rural
172,1.15,4.48,3,7,2,Meat-Eater,None,Office,Rural
173,5.61,1.46,1,1,7,Vegetarian,None,Student,Rural
174,3.04,4.58,5,10,5,Vegan,Cardio,Student,Urban
175,6.81,5.61,5,4,6,Flexitarian,Strength Training,Remote,Suburban
176,2.57,5.35,6,7,2,Pescatarian,None,Remote,Rural
177,7.22,4.45,4,3,6,Flexitarian,Cardio,Student,Rural
178,4.48,8.55,9,9,1,Vegetarian,None,Mixed,Rural
179,9.43,2.31,4,4,6,Vegan,Sports,Student,Rural
180,2.24,5.55,9,6,1,Flexitarian,None,Fieldwork,Suburban
181,4.07,1.56,4,8,4,Vegetarian,Strength Training,Student,Rural
182,2.02,1.64,2,8,4,Vegetarian,None,Student,Urban
183,9.32,6.16,8,5,5,Vegetarian,Sports,Fieldwork,Rural
184,8.9,6.09,5,1,9,Flexitarian,Strength Training,Office,Suburban
185,3.32,8.9,8,10,2,Pescatarian,Yoga/Pilates,Fieldwork,Rural
186,6.94,6.02,9,1,9,Vegetarian,Cardio,Student,Rural
187,8.35,9.64,10,3,7,Meat-Eater,Cardio,Mixed,Rural
188,6,1.44,3,1,7,Vegan,Strength Training,Student,Suburban
189,5.77,1.88,4,1,6,Vegetarian,Sports,Office,Rural
190,3.18,1.4,4,6,5,Flexitarian,Yoga/Pilates,Fieldwork,Urban
191,1.84,2.67,4,7,1,Meat-Eater,None,Remote,Suburban
192,9.07,5.87,9,2,6,Vegetarian,Cardio,Remote,Urban
193,9.1,6.81,8,3,9,Flexitarian,Sports,Mixed,Urban
194,6.7,1.41,5,1,9,Vegan,None,Fieldwork,Urban
195,4.05,9.51,9,8,2,Vegetarian,Strength Training,Fieldwork,Suburban
196,4.14,8.58,7,7,4,Meat-Eater,Yoga/Pilates,Student,Rural
197,7.53,3.67,1,1,9,Meat-Eater,Sports,Office,Suburban
198,9.07,1.69,5,5,3,Vegetarian,Cardio,Student,Urban
199,8.98,2.53,2,2,7,Vegan,Sports,Student,Suburban
200,8.02,2.14,4,2,7,Meat-Eater,Sports,Office,Urban
201,6.78,2.11,2,2,8,Pescatarian,Sports,Fieldwork,Urban
202,1.76,5.67,8,6,2,Pescatarian,None,Student,Suburban
203,2.45,3.21,3,9,5,Flexitarian,None,Student,Urban
204,9.09,4.22,5,5,5,Vegan,Sports,Remote,Urban
205,6.46,9.91,5,5,3,Flexitarian,Sports,Student,Suburban
206,1.08,7.16,9,8,4,Flexitarian,None,Student,Suburban
207,1.91,9.54,8,6,5,Meat-Eater,None,Student,Urban
208,6.97,2.28,1,2,8,Pescatarian,Yoga/Pilates,Student,Suburban
209,1.05,4.44,5,9,5,Meat-Eater,None,Mixed,Urban
210,2.45,5.99,5,6,1,Meat-Eater,None,Mixed,Suburban
211,5.94,1.69,4,1,8,Meat-Eater,None,Student,Urban
212,7.23,1.04,3,4,7,Pescatarian,Cardio,Office,Urban
213,6.87,7.03,7,2,10,Vegetarian,Strength Training,Mixed,Suburban
214,3.02,6.78,9,6,2,Vegetarian,None,Office,Rural
215,7.41,4.7,2,5,3,Vegetarian,Sports,Student,Urban
216,3.14,5.41,8,10,5,Flexitarian,Sports,Mixed,Rural
217,3.93,4.74,5,9,2,Vegan,Cardio,Remote,Suburban
218,7.72,1.22,5,2,9,Flexitarian,Cardio,Mixed,Urban
219,6.85,4.02,3,4,9,Vegetarian,None,Student,Urban
220,8.64,2.59,1,1,6,Vegan,Cardio,Remote,Suburban
221,6.92,1.89,4,5,3,Vegan,None,Mixed,Urban
222,6.11,9.61,5,3,7,Vegan,Strength Training,Remote,Suburban
223,1.84,6.39,10,9,1,Vegan,None,Student,Urban
224,4.31,7.56,10,8,3,Vegan,Sports,Fieldwork,Suburban
225,3.39,3.84,4,8,4,Meat-Eater,Sports,Remote,Urban
226,3.2,4.54,2,10,2,Meat-Eater,None,Fieldwork,Rural
227,9.76,3.13,3,4,10,Meat-Eater,Cardio,Mixed,Rural
228,4.54,1.87,2,8,4,Flexitarian,Cardio,Remote,Rural
229,9.03,2.61,5,1,10,Vegan,Strength Training,Office,Suburban
230,6.68,8.18,10,2,10,Vegetarian,Yoga/Pilates,Student,Urban
231,8.15,7.1,7,2,7,Vegetarian,Cardio,Mixed,Suburban
232,5.52,5.92,9,5,2,Vegetarian,Cardio,Office,Rural
233,6.19,5.28,6,4,10,Vegan,Sports,Office,Rural
234,5.43,9.3,8,4,6,Pescatarian,Yoga/Pilates,Mixed,Rural
235,2.76,1.65,5,7,5,Vegan,None,Fieldwork,Suburban
236,7.5,3.53,1,1,10,Pescatarian,Strength Training,Mixed,Rural
237,3.53,4.15,4,7,2,Vegan,Sports,Office,Urban
238,1.22,8.04,8,7,3,Vegan,None,Fieldwork,Urban
239,6.81,9.93,6,4,9,Meat-Eater,None,Mixed,Rural
240,2.59,3.17,2,8,2,Meat-Eater,None,Student,Suburban
241,9.46,8.87,7,1,6,Vegetarian,Strength Training,Student,Rural
242,9.59,8.48,7,4,9,Pescatarian,Cardio,Mixed,Suburban
243,9.23,3.02,1,2,7,Meat-Eater,Cardio,Student,Suburban
244,4.33,4.59,4,8,2,Flexitarian,Cardio,Office,Urban
245,1.14,4.69,1,6,3,Meat-Eater,None,Fieldwork,Suburban
246,9.35,9.8,5,5,1,Flexitarian,Cardio,Student,Urban
247,4.85,2.63,2,6,1,Meat-Eater,Yoga/Pilates,Fieldwork,Rural
248,9.7,8.19,5,1,7,Pescatarian,Cardio,Remote,Rural
249,9.67,4.01,1,2,8,Meat-Eater,Cardio,Office,Suburban
250,8.68,7.58,9,2,7,Meat-Eater,Cardio,Student,Urban
251,3.65,4.78,3,10,5,Flexitarian,Cardio,Remote,Suburban
252,4.47,6.21,7,10,5,Pescatarian,None,Fieldwork,Urban
253,8.66,8.49,8,5,3,Vegan,Sports,Mixed,Rural
254,3.85,8.24,7,9,2,Flexitarian,Sports,Remote,Urban
255,2.53,8.8,10,9,3,Pescatarian,None,Remote,Urban
256,6.01,1.54,4,2,7,Meat-Eater,Yoga/Pilates,Office,Urban
257,9.43,7.23,9,2,7,Pescatarian,Strength Training,Student,Urban
258,7.26,2.26,3,5,5,Pescatarian,Sports,Mixed,Suburban
259,6.13,4.74,5,4,9,Flexitarian,Yoga/Pilates,Mixed,Suburban
260,1.87,5.94,7,8,1,Pescatarian,None,Student,Rural
261,6.54,4.62,3,4,6,Flexitarian,Cardio,Student,Suburban
262,9.91,5.68,9,2,8,Vegetarian,Cardio,Remote,Suburban
263,2.26,9.97,5,9,1,Pescatarian,None,Remote,Rural
264,5.66,2.22,1,2,10,Flexitarian,Sports,Office,Suburban
265,8.9,7.08,5,5,4,Vegetarian,Sports,Fieldwork,Suburban
266,7.67,4.56,1,5,2,Pescatarian,Cardio,Remote,Rural
267,7.27,2.2,3,5,2,Meat-Eater,Cardio,Remote,Urban
268,7.32,2.43,2,3,10,Pescatarian,Cardio,Office,Urban
269,4.24,9.54,9,8,1,Vegan,Strength Training,Mixed,Suburban
270,3.64,8.92,6,7,2,Vegan,Sports,Remote,Rural
271,8.28,9.16,10,1,6,Flexitarian,Sports,Remote,Rural
272,8.29,9.92,6,3,10,Vegetarian,Cardio,Fieldwork,Urban
273,8.8,2.87,4,2,7,Vegetarian,Sports,Office,Suburban
274,9.22,4.2,1,4,8,Meat-Eater,Strength Training,Remote,Suburban
275,5.6,7.02,10,5,4,Vegan,Cardio,Office,Rural
276,5.51,5.35,7,5,1,Meat-Eater,None,Mixed,Suburban
277,8.18,4.77,1,5,1,Flexitarian,Strength Training,Mixed,Suburban
278,6.85,4.22,1,2,6,Vegan,Sports,Mixed,Suburban
279,7.32,6.34,6,5,1,Flexitarian,Cardio,Mixed,Urban
280,8.16,6.18,8,3,10,Vegan,Sports,Office,Rural
281,9.01,2.45,1,4,10,Vegetarian,Sports,Mixed,Rural
282,4.04,5.25,9,10,5,Vegan,Cardio,Office,Rural
283,4.38,5.98,9,7,5,Pescatarian,Cardio,Fieldwork,Suburban
284,1.85,6.13,5,9,2,Vegetarian,None,Office,Rural
285,6.2,2.89,2,5,5,Vegan,None,Remote,Rural
286,1.32,7.68,6,6,2,Vegetarian,None,Mixed,Suburban
287,5.19,1.23,3,5,3,Pescatarian,Yoga/Pilates,Mixed,Rural
288,5.88,4.19,4,3,10,Meat-Eater,Sports,Office,Urban
289,3.58,8.02,6,9,3,Vegetarian,None,Student,Suburban
290,6.32,6.08,7,3,10,Meat-Eater,Yoga/Pilates,Office,Suburban
291,1.27,3.35,5,6,3,Vegetarian,None,Student,Suburban
292,1.34,7.25,10,6,4,Pescatarian,None,Remote,Urban
293,8.4,6.11,9,3,8,Meat-Eater,Cardio,Student,Suburban
294,4.24,8.17,9,9,2,Pescatarian,Sports,Student,Rural
295,2.14,7.62,5,6,1,Pescatarian,None,Fieldwork,Urban
296,5.7,6.49,8,1,8,Pescatarian,None,Student,Rural
297,7.93,5.39,7,5,1,Pescatarian,Strength Training,Mixed,Urban
298,2.94,2.2,4,7,4,Vegetarian,None,Office,Urban
299,6.61,3.35,1,1,9,Flexitarian,None,Student,Urban
300,1.77,4.77,3,9,2,Pescatarian,None,Student,Suburban
301,1.47,6.39,7,9,2,Vegan,None,Remote,Rural
302,5.78,5.62,6,5,3,Meat-Eater,Strength Training,Student,Rural
303,5.87,3.59,4,4,10,Meat-Eater,None,Student,Rural
304,6.74,1.06,4,5,4,Meat-Eater,Strength Training,Fieldwork,Urban
305,7.53,5.47,6,1,6,Vegetarian,Cardio,Remote,Urban
306,9.78,3.57,5,1,10,Pescatarian,Strength Training,Remote,Suburban
307,5.65,7.61,5,1,9,Meat-Eater,Strength Training,Mixed,Urban
308,3.91,1.22,4,6,3,Flexitarian,Sports,Student,Suburban
309,8.16,6.26,6,2,9,Meat-Eater,Sports,Mixed,Suburban
310,3.44,9.47,7,7,2,Flexitarian,Cardio,Student,Rural
311,4.95,2.57,2,6,1,Vegetarian,Sports,Fieldwork,Suburban
312,1.71,5.24,10,9,1,Pescatarian,None,Fieldwork,Rural
313,1.23,1.82,5,10,2,Flexitarian,None,Remote,Rural
314,9.66,6.63,5,3,10,Meat-Eater,Cardio,Office,Urban
315,8.52,5.95,10,5,2,Vegetarian,Strength Training,Fieldwork,Suburban
316,7.26,4.67,5,3,6,Meat-Eater,Sports,Remote,Rural
317,4.68,5.69,10,8,3,Meat-Eater,Yoga/Pilates,Remote,Suburban
318,2.56,9.07,7,6,5,Meat-Eater,None,Remote,Suburban
319,2.41,2.77,3,8,4,Pescatarian,None,Office,Suburban
320,3.25,1.2,3,6,3,Vegetarian,Sports,Office,Suburban
321,5.94,8.75,7,2,10,Pescatarian,Cardio,Fieldwork,Urban
322,7.43,6.19,6,4,6,Vegetarian,Strength Training,Mixed,Rural
323,6.94,9.02,7,3,6,Pescatarian,Strength Training,Office,Suburban
324,3.52,6.37,7,9,3,Meat-Eater,None,Remote,Suburban
325,9.59,8.29,6,1,10,Vegetarian,Cardio,Fieldwork,Suburban
326,7.64,4.87,3,3,9,Vegetarian,Cardio,Remote,Rural
327,5.99,7.75,9,5,4,Meat-Eater,Cardio,Mixed,Suburban
328,6.51,9.22,9,2,7,Vegan,None,Student,Suburban
329,4.78,6.15,8,7,3,Flexitarian,Cardio,Remote,Urban
330,3.23,2.63,5,8,5,Pescatarian,Yoga/Pilates,Fieldwork,Rural
331,4.2,3.42,1,7,3,Vegetarian,Sports,Office,Suburban
332,7.82,2.79,1,5,4,Flexitarian,Cardio,Fieldwork,Rural
333,1.13,3.22,1,9,5,Vegan,None,Student,Rural
334,2.04,3.76,2,10,1,Vegetarian,None,Mixed,Rural
335,1.41,6,9,7,1,Vegan,None,Mixed,Suburban
336,1.37,6.29,5,9,5,Vegan,None,Fieldwork,Rural
337,8.7,4.84,4,5,3,Pescatarian,Sports,Fieldwork,Rural
338,7.33,6.54,6,1,8,Pescatarian,Strength Training,Mixed,Rural
339,5.27,1.73,4,1,6,Vegan,Strength Training,Remote,Rural
340,1.88,1.79,5,9,1,Meat-Eater,None,Remote,Rural
341,5.42,2.55,3,4,9,Vegan,Sports,Mixed,Suburban
342,5.26,5.66,8,4,10,Pescatarian,Strength Training,Mixed,Suburban
343,2.56,2.93,3,6,3,Meat-Eater,None,Mixed,Rural
344,4.9,3.55,2,10,4,Meat-Eater,Yoga/Pilates,Student,Rural
345,4.59,4.6,4,9,3,Vegetarian,Yoga/Pilates,Remote,Suburban
346,6.54,8.31,8,1,6,Vegetarian,Yoga/Pilates,Office,Rural
347,6.72,1.12,2,4,10,Vegan,Strength Training,Fieldwork,Suburban
348,1.41,6.84,6,9,2,Flexitarian,None,Mixed,Rural
349,4.37,7.02,5,9,5,Meat-Eater,Cardio,Remote,Suburban
350,6.63,8.19,9,1,7,Pescatarian,Yoga/Pilates,Remote,Rural
351,5.53,9.39,8,5,4,Pescatarian,Sports,Fieldwork,Suburban
352,8.71,1.18,4,1,7,Flexitarian,Cardio,Fieldwork,Suburban
353,6.93,2.38,2,1,7,Pescatarian,Cardio,Office,Rural
354,2.47,8.98,6,9,4,Meat-Eater,None,Remote,Suburban
355,1.64,5.13,9,8,5,Vegetarian,None,Office,Rural
356,6.78,6.08,6,3,9,Meat-Eater,Cardio,Office,Rural
357,1.24,6.97,7,8,1,Meat-Eater,None,Student,Suburban
358,6.27,7.11,7,1,6,Vegan,None,Student,Suburban
359,9.46,9.39,10,4,7,Flexitarian,Sports,Remote,Rural
360,6.18,9.97,7,3,9,Vegan,Cardio,Fieldwork,Suburban
361,4.49,7.48,7,7,4,Pescatarian,Strength Training,Fieldwork,Rural
362,6.79,3.58,5,2,9,Pescatarian,Strength Training,Fieldwork,Rural
363,5.12,8.92,8,2,10,Vegan,Cardio,Remote,Urban
364,5.91,1.44,3,5,3,Vegan,Sports,Remote,Rural
365,9.47,3.08,2,4,8,Pescatarian,Strength Training,Mixed,Rural
366,4.47,9.08,7,6,3,Vegetarian,Cardio,Student,Rural
367,9.65,3.31,5,1,10,Vegetarian,Strength Training,Remote,Suburban
368,9.15,2.99,2,4,9,Meat-Eater,Cardio,Fieldwork,Rural
369,2.76,2.24,3,10,3,Meat-Eater,None,Mixed,Rural
370,1.62,8.73,8,9,4,Vegetarian,None,Remote,Urban
371,1.91,5.5,6,10,2,Flexitarian,None,Fieldwork,Urban
372,1.16,7.07,6,8,3,Vegetarian,None,Remote,Suburban
373,1.85,3.15,4,8,2,Vegetarian,None,Student,Suburban
374,7.15,7.82,6,5,5,Vegan,Strength Training,Mixed,Rural
375,1.64,7.84,7,9,1,Pescatarian,None,Remote,Rural
376,3.87,3.81,2,8,5,Flexitarian,None,Office,Urban
377,8.6,4.7,3,4,10,Pescatarian,Cardio,Fieldwork,Rural
378,1.21,2.89,4,8,5,Vegetarian,None,Fieldwork,Urban
379,8.33,9.79,5,4,8,Meat-Eater,Strength Training,Office,Rural
380,3.54,6.81,8,9,2,Flexitarian,Sports,Office,Suburban
381,2.06,9.41,7,7,3,Vegan,None,Mixed,Suburban
382,7.27,3.73,5,5,1,Meat-Eater,Sports,Remote,Suburban
383,6.66,8.04,8,1,10,Meat-Eater,Sports,Fieldwork,Rural
384,8.9,7.89,9,5,4,Pescatarian,Cardio,Fieldwork,Rural
